Player, PR, Luck, Score, Player, PR, Luck, Score
Hummus,4.03,0.56,7,Moriarty,3.74,-1.39,4
OvedBenZeev,14.78,2.07,5,Nissimb,7.36,0.91,7
Aviv,11.11,3.67,4,hmualem,11.76,5.6,7
Bye,0,0,7,Idan1986,0,0,0
mirob,11.56,-4.42,4,sasha_er,5.75,-3.06,7
YossiEliezer23,4.76,5.39,7,bardak65,5.46,-0.53,1
gidio,12.5,0.12,7,Ran1976,3.52,-5.73,3
nadavd,8.25,-0.08,7,Efi,12.93,-0.58,6
lur,8.37,1.78,7,UziMutsafy,8.09,0.75,5
KingArt,8.91,-0.88,6,Avshalom,8.28,1.52,7
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,10.32,0.69,5,Tezka11,11.83,3.32,7
ys,6.56,-0.74,6,HeartGammon,10.81,-0.33,7
Hummus,7.22,0.42,7,YKwin,5.35,-0.17,5
OvedBenZeev,7.96,0.63,0,GuyEliyahu,15.87,4.75,7
Aviv,15.96,-1.57,6,Moriarty,7.21,0.16,7
Bye,0,0,7,Nissimb,0,0,0
mirob,13.43,6.01,7,hmualem,9.03,2.06,4
YossiEliezer23,8.72,1.25,7,Idan1986,13.67,-1.58,2
gidio,12.07,1.38,4,sasha_er,8.36,4.27,7
nadavd,5.29,1.81,7,bardak65,1.72,-0.82,3
lur,9.17,1.14,6,Ran1976,9.44,1.02,7
KingArt,9.23,-2.12,1,Efi,11.51,1.76,7
Avshalom,6.81,1.14,7,UziMutsafy,10.03,-3.17,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,12.02,-3.29,4,ys,4.31,-0.15,7
Hummus,5.8,1.85,7,Tezka11,6.01,-0.31,0
OvedBenZeev,8.46,-0.39,4,HeartGammon,8.85,3.78,7
Aviv,7.7,1.33,7,YKwin,4.45,0.03,6
Bye,0,0,7,GuyEliyahu,0,0,0
mirob,9.44,1.35,7,Moriarty,9.11,0.36,4
YossiEliezer23,4.34,1.78,7,Nissimb,8.08,-0.8,2
gidio,10.66,-1.11,4,hmualem,8.2,-0.13,7
nadavd,11.13,-2.31,7,Idan1986,8.62,-1.69,6
lur,9.98,0.79,4,sasha_er,5.5,3.41,7
KingArt,11.28,1.79,7,bardak65,15.44,-0.26,3
Avshalom,9.88,0.21,7,Ran1976,18.12,2.33,6
UziMutsafy,7.4,0.31,0,Efi,10.59,6.94,7
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,6.33,-2.07,0,Hummus,3.08,3.09,7
OvedBenZeev,11.18,-1.69,2,ys,4.54,2.17,7
Aviv,8.57,-1.53,1,Tezka11,16.58,0.92,7
Bye,0,0,7,HeartGammon,0,0,0
mirob,8.84,-0.9,7,YKwin,4.25,-4.4,4
YossiEliezer23,6.07,-1.21,6,GuyEliyahu,1.46,-0.51,7
gidio,14.72,0.36,4,Moriarty,8.89,1.75,7
nadavd,4.51,-2.35,4,Nissimb,4.78,-0.31,7
lur,10.54,0.8,5,hmualem,6.73,1.2,7
KingArt,22.06,0.87,7,Idan1986,32.49,-3.53,0
Avshalom,13.4,-7.24,5,sasha_er,13.03,-4.61,7
UziMutsafy,18.11,-0.92,5,bardak65,8.85,0.22,7
Efi,14.22,2.97,7,Ran1976,22.48,1.3,2
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,12.95,-1.3,4,OvedBenZeev,18.6,3.33,7
Aviv,11.6,-0.89,3,Hummus,3.94,2.88,7
Bye,0,0,7,ys,0,0,0
mirob,8.93,1.41,7,Tezka11,17.14,0.11,2
YossiEliezer23,5,3.82,7,HeartGammon,5.27,-1.58,0
gidio,16.45,4.06,7,YKwin,6.89,-1.41,4
nadavd,6.57,-2.07,4,GuyEliyahu,5.24,-1.93,7
lur,12.87,4.35,7,Moriarty,8.13,-1.44,3
KingArt,10.21,4.28,6,Nissimb,2.95,3.34,7
Avshalom,11.01,1.97,7,hmualem,8.69,-0.7,6
UziMutsafy,5.1,0.44,0,Idan1986,20.83,2.95,7
Efi,14.21,1.07,7,sasha_er,12.86,-0.74,2
