Player, PR, Luck, Score, Player, PR, Luck, Score
Bye,0,0,7,sasha_er,0,0,0
GS18671,9.47,1.73,7,Danny_kondrea,12.61,2.59,5
nadavd,6.61,1.51,7,Idan1986,13.83,-1.42,3
lur,10.16,2.61,7,hmualem,11.44,-2.08,3
Bye,0,0,6,Nissimb,0,0,7
YKwin,4.08,5.35,7,Moriarty,4.41,0.13,2
Avshalom,6.09,-0.13,7,UziMutsafy,11.06,-0.68,3
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,12.43,0.73,7,KingArt,11.02,0.94,5
HeartGammon,12.24,-2.87,0,Aviado,5.02,1.66,7
Tezka11,9.96,1.66,6,GuyEliyahu,5.17,2.26,7
barak100,8,-4.22,0,fridlich,4.91,0.04,7
ys,3.49,0.46,7,Efi,18.31,1.7,4
Bye,0,0,7,Ran1976,0,0,0
GS18671,12.53,-1,6,bardak65,12.37,1.59,7
nadavd,3.73,-0.59,7,sasha_er,11.42,-0.93,5
lur,10.11,-1.91,2,Danny_kondrea,17.97,3.65,7
Bye,0,0,6,Idan1986,0,0,7
YKwin,5.35,2.46,7,hmualem,18.07,0.82,1
Avshalom,7.72,-1.59,2,Nissimb,3.23,1.31,7
UziMutsafy,8.86,-1.25,2,Moriarty,5.36,0.83,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,14.72,-0.34,7,HeartGammon,10.08,-1.66,6
Tezka11,19.55,-0.27,0,KingArt,14.23,3.16,7
barak100,11.03,3.37,7,Aviado,9.28,-0.25,1
ys,6.4,0.26,4,GuyEliyahu,6.22,2.92,7
Bye,0,0,7,fridlich,0,0,0
GS18671,8.7,-0.54,4,Efi,11.26,3.05,7
nadavd,8.77,0.65,7,Ran1976,5.28,-2.2,2
lur,12.22,-3.97,4,bardak65,13.32,-0.29,7
Bye,0,0,6,sasha_er,0,0,7
YKwin,4.35,-0.08,7,Danny_kondrea,11.78,-0.59,2
Avshalom,9.59,0.25,7,Idan1986,9.76,-0.05,5
UziMutsafy,4.71,1.71,3,hmualem,7.68,5.64,7
Moriarty,4.96,0.6,7,Nissimb,6.31,-1.45,5
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,12.67,-2.02,2,Tezka11,9.87,-0.15,7
barak100,12.51,-0.35,1,HeartGammon,8.01,2.3,7
ys,5.09,2.44,7,KingArt,14.48,0.11,0
Bye,0,0,7,Aviado,0,0,0
GS18671,14.99,-2.72,4,GuyEliyahu,5.04,-3.5,7
nadavd,4.56,-0.02,7,fridlich,5.16,0.04,4
lur,6.14,0.93,7,Efi,13.5,-0.19,3
Bye,0,0,6,Ran1976,0,0,7
YKwin,8.34,1.39,7,bardak65,18.29,-1.1,1
Avshalom,7.95,-3.34,6,sasha_er,9.98,-2.92,7
UziMutsafy,9.48,-0.67,7,Danny_kondrea,7.17,-5.35,4
Moriarty,6.05,-3.43,4,Idan1986,8.2,-1.52,7
Nissimb,3.46,1.57,6,hmualem,6.5,3.01,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,9.83,2.15,7,barak100,14.42,0.08,0
ys,1.34,0.37,1,Tezka11,16,2.75,7
Bye,0,0,7,HeartGammon,0,0,0
GS18671,16.04,0.76,7,KingArt,15.27,-1.76,0
nadavd,5.61,3.85,7,Aviado,5.47,0.4,0
lur,10.71,2.95,7,GuyEliyahu,5.88,-0.54,0
Bye,0,0,6,fridlich,0,0,7
YKwin,4.42,-3.31,5,Efi,6.48,-1.33,7
Avshalom,7.09,0.27,6,Ran1976,13.36,6.58,7
UziMutsafy,12.83,-3.46,4,bardak65,6,-1.67,7
Moriarty,12.21,3.22,7,sasha_er,15.07,0.77,4
Nissimb,4.23,1.56,7,Danny_kondrea,6.41,-0.7,3
hmualem,7.77,-0.69,1,Idan1986,11.35,2.65,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,7.34,-1.78,3,ys,4.15,1.71,7
Bye,0,0,7,barak100,0,0,0
GS18671,18.7,-0.88,2,Tezka11,11.41,1.31,7
nadavd,5.77,0.13,7,HeartGammon,16.16,-2.61,0
lur,8.71,-0.09,7,KingArt,23.85,0.88,3
Yehuda,10.7,-1.04,5,Aviado,6.65,1.52,7
YKwin,7.09,0.67,6,GuyEliyahu,5.85,1.33,7
Avshalom,9.03,1.06,5,fridlich,5.03,0.48,7
UziMutsafy,10.63,-3,6,Efi,19.23,-0.58,7
Moriarty,9.32,-1.45,6,Ran1976,14.52,0.37,7
Nissimb,10.45,-1.88,7,bardak65,18.65,-1.38,3
hmualem,7.85,-4.72,1,sasha_er,15.67,0.27,7
Idan1986,15.79,-3.88,2,Danny_kondrea,17.39,0.26,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,0,0,7,Bye,0,0,0
GS18671,18.53,-2.3,4,ys,6.78,-1.55,7
nadavd,0,0,7,barak100,0,0,6
lur,3.66,1.05,7,Tezka11,9.7,-2.04,0
Bye,0,0,6,HeartGammon,0,0,7
YKwin,3.74,0.62,7,KingArt,6.37,0.6,6
Avshalom,12.39,-2.05,2,Aviado,2.99,-1.76,7
UziMutsafy,15.17,1.32,7,GuyEliyahu,6.79,-0.84,1
Moriarty,13.09,0.3,7,fridlich,11.09,-2.49,2
Nissimb,2.5,-0.13,7,Efi,14.12,-1.16,3
hmualem,5.94,0,0,Ran1976,7.7,6.16,7
Idan1986,15.96,1.44,5,bardak65,9.43,1.27,7
Danny_kondrea,12.79,-1,7,sasha_er,12.16,-3.08,3
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,15.7,-0.98,4,GS18671,16.95,0.62,7
nadavd,0,0,7,Bye,0,0,0
lur,7.67,-0.74,6,ys,3.33,-2.75,7
Bye,0,0,6,barak100,0,0,7
YKwin,4.51,7.28,7,Tezka11,13.77,2.06,0
Avshalom,8.4,-0.76,6,HeartGammon,10.48,0.31,7
UziMutsafy,7.69,0.15,3,KingArt,16.33,2.92,7
Moriarty,5.76,-0.28,3,Aviado,3.7,2.11,7
Nissimb,5.14,-4.18,0,GuyEliyahu,6.64,-0.1,7
hmualem,8.05,-1.63,1,fridlich,4.53,3.83,7
Idan1986,33.31,-1.06,0,Efi,26.75,3.57,7
Danny_kondrea,11.66,-1.23,6,Ran1976,12.34,0.78,7
sasha_er,14.46,1.44,3,bardak65,14.84,5.26,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,9.81,-1.18,6,nadavd,5.57,-0.85,7
lur,12.68,-2.89,5,GS18671,20.31,1.9,7
Bye,0,0,7,Bye,0,0,0
YKwin,6.23,4.99,7,ys,2.45,-0.62,2
Avshalom,4.53,0.88,7,barak100,8.34,-0.37,4
UziMutsafy,7.9,-0.5,7,Tezka11,27.81,0.94,5
Moriarty,5.3,-1.79,5,HeartGammon,9.48,1.38,7
Nissimb,12.5,1.63,7,KingArt,22.96,-1.81,1
hmualem,10.57,-1.64,7,Aviado,4.95,-5.27,4
Idan1986,7.53,1.84,6,GuyEliyahu,3.77,1.68,7
Danny_kondrea,9.47,0.44,7,fridlich,4,-0.71,5
sasha_er,15.08,0.45,4,Efi,14.79,2.21,7
bardak65,14.2,0.78,6,Ran1976,11.31,-0.21,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,6.97,-0.6,1,lur,8.58,3.54,7
Bye,0,0,6,nadavd,0,0,7
YKwin,9.71,0.92,7,GS18671,6.06,-2.37,0
Avshalom,0,0,7,Bye,0,0,0
UziMutsafy,13.49,-0.29,1,ys,4.79,0.25,7
Moriarty,0,0,7,barak100,0,0,5
Nissimb,4.03,-2.83,2,Tezka11,7.4,0.27,7
hmualem,12.52,-0.86,4,HeartGammon,8.86,-0.32,7
Idan1986,6.42,-3.24,6,KingArt,11.41,0.02,7
Danny_kondrea,6.33,1.5,7,Aviado,2.51,-1.38,5
sasha_er,4.35,-1.67,0,GuyEliyahu,3.92,3.54,7
bardak65,11.97,-0.9,4,fridlich,3.87,1.99,7
Ran1976,6.37,3.29,7,Efi,16.11,-1.28,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,0,0,7,Bye,0,0,6
YKwin,3.88,1.22,7,lur,9.08,-0.17,3
Avshalom,9,-0.28,3,nadavd,7.82,2.49,7
UziMutsafy,5.12,-3.05,7,GS18671,11,-1.16,6
Moriarty,0,0,7,Bye,0,0,0
Nissimb,5.06,1.33,7,ys,3.03,-2.05,3
hmualem,9.73,-1.05,7,barak100,5.84,-2.72,5
Idan1986,10.77,-0.53,4,Tezka11,18.04,2.3,7
Danny_kondrea,12.68,2.45,5,HeartGammon,11.69,3.75,7
sasha_er,18.63,-0.98,7,KingArt,13.98,-2.87,0
bardak65,18,-2.92,0,Aviado,6.78,2.92,7
Ran1976,11.67,0.58,5,GuyEliyahu,9.28,-0.05,7
Efi,21.13,1.63,1,fridlich,3.47,2.73,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,12.76,-2.61,0,YKwin,3.33,0.67,7
Avshalom,0,0,7,Bye,0,0,6
UziMutsafy,10.76,0.75,7,lur,13.58,0.04,4
Moriarty,7.27,3.6,7,nadavd,8.88,5.68,6
Nissimb,6.26,2.24,7,GS18671,8.52,-3.7,1
hmualem,0,0,7,Bye,0,0,0
Idan1986,8.01,-0.42,5,ys,4.3,0.74,7
Danny_kondrea,0,0,7,barak100,0,0,5
sasha_er,15.85,0.3,7,Tezka11,35.19,-0.82,4
bardak65,12.89,-2.59,3,HeartGammon,6.65,0.12,7
Ran1976,18.11,0.45,1,KingArt,20.02,5.41,7
Efi,19.74,-0.15,0,Aviado,7.26,3,7
fridlich,6.81,0.6,7,GuyEliyahu,8.67,-0.81,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,6.43,3.06,7,Avshalom,11.71,0.21,2
UziMutsafy,7.58,-0.01,5,YKwin,5.57,1.21,7
Moriarty,0,0,7,Bye,0,0,6
Nissimb,3.3,-0.01,7,lur,9.72,0.89,5
hmualem,6.24,-2.12,0,nadavd,7.33,2.64,7
Idan1986,13.39,-1.34,2,GS18671,10.5,1.01,7
Danny_kondrea,0,0,7,Bye,0,0,0
sasha_er,15.17,1.46,7,ys,8.86,-1.16,6
bardak65,11.82,4.44,7,barak100,11.14,-1.66,3
Ran1976,20.27,-1.7,3,Tezka11,11.91,-0.72,7
Efi,18.49,-1.84,7,HeartGammon,8.44,-3.88,5
fridlich,5.57,-4.2,7,KingArt,10.84,-1.39,6
GuyEliyahu,5.49,1,7,Aviado,4.31,-1.88,1
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,14.63,2.23,5,UziMutsafy,4.94,0.35,7
Moriarty,7.07,0.06,2,Avshalom,9.08,1.33,7
Nissimb,6.57,1.2,7,YKwin,2.19,-3.06,0
hmualem,0,0,7,Bye,0,0,6
Idan1986,13.24,3.16,6,lur,8.49,0.58,7
Danny_kondrea,14.18,-2.99,7,nadavd,4.22,0.92,5
sasha_er,14.34,2.85,6,GS18671,8.91,0.36,7
bardak65,0,0,7,Bye,0,0,0
Ran1976,16.71,-0.86,1,ys,7.78,1.61,7
Efi,12.3,-0.87,4,barak100,5.49,2.51,7
fridlich,4.75,2.37,6,Tezka11,9.06,3.44,7
GuyEliyahu,7.4,-1.22,7,HeartGammon,13.76,0.59,5
Aviado,3.01,2.2,7,KingArt,7.58,0.6,4
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,13.5,2.28,7,Moriarty,10.36,0.92,3
Nissimb,3.47,-4.09,3,UziMutsafy,11.5,1.17,7
hmualem,5.15,-0.1,6,Avshalom,6.23,2.07,7
Idan1986,19.91,-3.09,0,YKwin,6.29,0.2,7
Danny_kondrea,0,0,7,Bye,0,0,6
sasha_er,19.23,-1.11,3,lur,15.82,0.22,7
bardak65,7.29,1.96,5,nadavd,8.56,2.85,7
Ran1976,11.83,-2.08,5,GS18671,8.2,1.54,7
Efi,0,0,7,Bye,0,0,0
fridlich,12.69,-1.88,0,ys,5.95,2.74,7
GuyEliyahu,2,-3.41,7,barak100,6.15,-3.96,6
Aviado,4.3,0.48,7,Tezka11,20.32,2.32,4
KingArt,10.51,1.28,1,HeartGammon,8.09,3.17,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,6.48,-0.99,2,Nissimb,4.03,2.51,7
hmualem,13.43,3.9,5,Moriarty,12.76,3.13,7
Idan1986,11.04,2.23,7,UziMutsafy,7.33,1.18,2
Danny_kondrea,9.28,4.17,7,Avshalom,7.7,0.75,5
sasha_er,10.47,3.73,7,YKwin,4.88,-0.84,2
bardak65,8.79,2.6,7,Yehuda,9.1,-0.89,2
Ran1976,8.31,-0.56,6,lur,9.08,4.08,7
Efi,14.41,-0.99,2,nadavd,5.28,1.03,7
fridlich,4.63,-2.27,2,GS18671,15.35,1.17,7
GuyEliyahu,0,0,7,Bye,0,0,0
Aviado,2.76,-0.83,6,ys,3.43,0.07,7
KingArt,13.83,3.44,6,barak100,8.4,3.02,7
HeartGammon,11.31,-1.53,4,Tezka11,14.22,2.46,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,13.23,-2.11,1,hmualem,7.23,2.26,7
Idan1986,12.76,-2.65,1,Nissimb,6.66,1.45,7
Danny_kondrea,4.41,0.16,4,Moriarty,6.2,3.47,7
sasha_er,11.28,0.04,7,UziMutsafy,10.19,-1.71,4
bardak65,4.09,-4.18,0,Avshalom,9.78,2.47,7
